Code,Mum,Dad
RHY92,MOS78,LENOT
SAF92,CRT76,LENOT
SAM92,CAL84,AVO84
SEM92,WHE84,VER84
SES92,HAR82,Sep-83
SHA92,BCL87,RED81
SOL92,THO84,CONFI
SRL92,OCH87,JUG85
SUL92,TER80,CHE82
SUR92,THO82,FRE87
SWI92,TER83,CHE82
TAM92,RHY88,NA
THS92,PAP87,D0589
TIG92,OTA80,LEN83
TNG92,FAN88,AVO84
TOG92,BCL84,BLC81
TUR92,MUS77,TOPIS
VIO92,CLA85,CONFI
WOD92,CAP84,RHY82
ALB93,FUL87,CHE82
ALD93,SUR87,LAM86
AST93,GAL85,RHY84
BCL93,BUC81,FLY86
BNX93,FUL89,SAF82
CGH93,WHA87,CRUMP
CLO93,HIC89,JUG85
CLT93,CCO87,CRUMP
CSK93,ANK89,JUG85
CUC93,UMB80,NA
DAN93,BUC82,FLY86
DIC93,HIC84,SCO81
DOC93,HIC88,VER81
DUN93,WHA83,SUR86
EGR93,IBI84,CRUMP
FAN93,COL80,CRUMP
FDL93,VIO89,INI85
FLA93,UPT79,CROSS
FRO93,BIL84,CROSS
FUL93,MAW79,CHE82
GIN93,Jun-85,JUG85
GRA93,FAN90,CRUMP
HAL93,TUR83,LENNY
HOL93,ILE86,AVO84
LPW93,FEA87,CRUMP
MAL93,SME84,CRUMP
PRS93,ATH89,NA
PTL93,MNX89,FLY86
PTN93,LIM83,VER81
SCA93,LOB86,VER84
SEE93,SES89,CRUMP
SKU93,FUL86,SAF82
STI93,AVO89,WIG85
STO93,WHA89,CRUMP
SUN93,RHY86,CROSS
SYC93,PET87,CRUMP
THS93,PAP87,JUG85
TLW93,CAN87,D0581
ALB94,FUL87,FIL86
AST94,GAL85,CHE82
ATH94,THO81,SAF88
BCL94,BUC81,FOL84
BNX94,FUL89,VER84
BRG94,MUR85,KIW89
CEL94,AST90,CHE82
CFI94,CFU82,FOL84
CGH94,WHA87,TYS83
CLO94,HIC89,JUG85
CLT94,CCO87,WEE85
COU94,CUC84,CONFI
CSK94,ANK89,OCH83
CUC94,UMB80,FLY86
DAN94,BUC82,OCH83
DIC94,HIC84,OCH83
DOC94,HIC88,OCH83
DUN94,WHA83,CROSS
EGR94,IBI84,GRIST
FAN94,COL80,CROSS
FEA94,PLO82,CUR85
FOP94,DAN90,JUG85
GIN94,Jun-85,JUG85
GOD94,AVO90,CROSS
GRA94,FAN90,D0575
HOL94,ILE86,OCH83
HRM94,INI86,TYS83
IVO94,EBO90,TYS83
JEE94,HAL90,TYS83
LPW94,FEA87,CUR85
MAS94,TUR85,LENNY
MEA94,BAR84,CUR85
OAT94,BAR83,SKA85
OCH94,SAF80,CROSS
PAP94,CAL82,NA
PEP94,MUS81,LENNY
PPK94,PEP90,LENNY
PTL94,MNX89,FIL86
SES94,HAR82,FLY86
SKI94,OAT90,CUR85
SKU94,FUL86,SKA85
STA94,GAL89,OCH83
STO94,WHA89,AVO84
SUL94,TER80,EGR88
SUN94,RHY86,SAF88
SUR94,THO82,LENNY
SYC94,PET87,AVO84
THU94,UMB84,AVO84
TNG94,FAN88,CROSS
TNY94,TIT84,JUG85
TRT94,OCH90,AVO84
VIO94,CLA85,FLY86
APH95,THO86,D0569
AST95,GAL85,CRAGS
BCL95,BUC81,WEE85
BNX95,FUL89,CUR85
BRG95,MUR85,SAF85
CEL95,AST90,CHE82
CGH95,WHA87,WEE85
CLO95,HIC89,OCH83
CLT95,CCO87,WEE85
COO95,ANK91,TYS83
COU95,CUC84,TIG89
CRB95,MOC84,CUR85
CSK95,ANK89,TYS83
DIC95,HIC84,TYS83
DOC95,HIC88,TYS83
FAN95,COL80,AVO84
FEA95,PLO82,SLT86
FLG95,ANK90,TYS83
FRA95,PEN90,CRAGS
GIN95,Jun-85,LENOT
GRA95,FAN90,RHY82
HRM95,INI86,LENOT
IVY95,ILE87,JUG85
KIT95,TER85,SLT86
MAL95,SME84,FOL84
MOO95,MOY82,Sep-83
ORC95,CRO90,INI85
OXA95,SRL91,BRNCH
PHL95,PID89,TYS83
PID95,LIM85,TYS83
PTL95,MNX89,FIL86
SCA95,LOB86,SOL89
SEM95,WHE84,SKA85
SKU95,FUL86,SKA85
STA95,GAL89,FOL84
STI95,AVO89,WEE85
TAM95,RHY88,BRNCH
TRT95,OCH90,D0540
TUS95,JUG91,GRIST
VEN95,APH91,NA
VIO95,CLA85,LENOT
ZAN95,ALD91,TIG89
BCL96,BUC81,TYS89
BNX96,FUL89,PEP85
BRG96,MUR85,TURKS
BUT96,BCL93,ANK87
CAF96,MAX84,TIG89
COO96,ANK91,TYS83
COU96,CUC84,INI85
DIC96,HIC84,SLT86
DOC96,HIC88,SLT86
FAN96,COL80,INI85
FDL96,VIO89,INI85
FEA96,PLO82,PEP85
FRA96,PEN90,JUG85
GOD96,AVO90,AVO84
GRA96,FAN90,INI85
HRM96,INI86,INI85
IVO96,EBO90,INI85
KIT96,TER85,FIL86
MAT96,Mar-89,FIL86
MLR96,JUG87,CONFI
PHL96,PID89,LENOT
PRT96,ORP92,INI85
PTL96,MNX89,MEL86
QUN96,CAF89,D0540
SEQ96,SYC91,OAT89
STI96,AVO89,TYS89
STO96,WHA89,INI85
STR96,MNX90,PEP85
SUL96,TER80,TWE89
THS96,PAP87,LENOT
THU96,UMB84,TIG89
TRT96,OCH90,TIG89
VIO96,CLA85,TURKS
WAG96,LPW91,FIL86
WOD96,CAP84,Sep-83
ZUC96,CUC91,LENOT
ALB97,FUL87,PEP85
BAC97,PTN93,SKA85
BIE97,CFI94,WOD90
CLT97,CCO87,BASIL
COO97,ANK91,SLT86
CRB97,MOC84,TYS89
CSK97,ANK89,SLT86
DAN97,BUC82,SLT86
DIL97,FEN90,NA
DOC97,HIC88,NA
DOT97,LPW93,FLY86
EID97,MAL93,OAT89
FEA97,PLO82,SLT86
FLG97,ANK90,SLT86
FOP97,DAN90,SLT86
GOD97,AVO90,INI85
GRA97,FAN90,INI85
HRM97,INI86,TIG89
IVO97,EBO90,BASIL
IVY97,ILE87,TWE89
LMS97,GOD94,GRIST
LPW97,FEA87,TYS83
MAS97,TUR85,TURKS
MDL97,FAN93,FLY86
MRY97,Mar-93,SCI87
NEP97,IND92,TIG89
ORC97,CRO90,TURKS
PID97,LIM85,TWE89
POM97,BNX93,SCI87
PTL97,MNX89,SCI87
RAP97,THU94,BASIL
SEQ97,SYC91,BASIL
SKI97,OAT90,FIL86
SKU97,FUL86,SCI87
SPI97,HAL94,NA
STA97,GAL89,BASIL
TIN97,THU91,D0575
